"date","fremont_bridge_nb","fremont_bridge_sb"
"2015-07-03T00:00:00.000","12","24"
"2015-07-12T22:00:00.000","8","15"
"2015-07-24T09:00:00.000","127","97"
"2015-07-29T01:00:00.000","2","3"
"2015-07-07T17:00:00.000","194","526"
"2015-07-24T21:00:00.000","29","35"
"2015-07-13T18:00:00.000","171","347"
"2015-07-09T14:00:00.000","51","62"
"2015-07-20T12:00:00.000","39","49"
"2015-07-14T01:00:00.000","5","4"
"2015-07-28T07:00:00.000","335","145"
"2015-07-11T10:00:00.000","62","64"
"2015-07-28T10:00:00.000","74","66"
"2015-07-30T13:00:00.000","55","46"
"2012-11-08T00:00:00.000","1","1"
"2012-11-08T01:00:00.000","3","3"
"2015-07-16T10:00:00.000","71","49"
"2015-07-31T07:00:00.000","244","119"
"2015-07-06T20:00:00.000","71","84"
"2015-07-12T23:00:00.000","12","11"
"2015-07-22T13:00:00.000","43","51"
"2015-07-16T23:00:00.000","13","32"
"2015-07-04T12:00:00.000","91","103"
"2015-07-31T01:00:00.000","5","10"
"2015-07-30T23:00:00.000","22","23"
"2015-07-09T02:00:00.000","3","2"
"2015-07-31T14:00:00.000","49","69"
"2015-07-22T22:00:00.000","22","23"
"2015-07-09T21:00:00.000","51","48"
"2015-07-24T08:00:00.000","295","146"
"2015-07-23T05:00:00.000","24","14"
"2015-07-23T18:00:00.000","179","291"
"2015-07-02T08:00:00.000","380","170"
"2015-07-04T09:00:00.000","74","75"
"2015-07-10T15:00:00.000","103","85"
"2015-07-27T14:00:00.000","52","64"
"2015-07-21T01:00:00.000","3","9"
"2015-07-28T06:00:00.000","123","60"
"2015-07-01T03:00:00.000","4","7"
"2015-07-12T21:00:00.000","30","22"
"2015-07-11T22:00:00.000","16","34"
"2015-07-06T21:00:00.000","46","42"
"2015-07-24T01:00:00.000","4","4"
"2015-07-21T17:00:00.000","168","487"
"2015-07-17T01:00:00.000","7","6"
"2015-07-02T15:00:00.000","75","116"
"2015-07-28T04:00:00.000","8","3"
"2015-07-19T14:00:00.000","91","69"
"2015-07-16T02:00:00.000","5","4"
"2015-07-13T02:00:00.000","0","5"
"2015-07-21T23:00:00.000","14","15"
"2012-11-09T13:00:00.000","45","45"
"2015-07-26T23:00:00.000","5","10"
"2015-07-26T08:00:00.000","23","22"
"2015-07-08T04:00:00.000","5","3"
"2015-07-24T18:00:00.000","95","185"
"2015-07-09T07:00:00.000","334","138"
"2015-07-18T23:00:00.000","13","21"
"2015-07-15T01:00:00.000","5","5"
"2015-07-30T15:00:00.000","72","70"
"2015-07-18T16:00:00.000","83","77"
"2012-11-09T23:00:00.000","8","8"
"2015-07-30T16:00:00.000","127","204"
"2012-11-10T01:00:00.000","4","4"
"2015-07-01T07:00:00.000","371","148"
"2015-07-08T11:00:00.000","58","48"
"2012-11-10T04:00:00.000","2","2"
"2015-07-11T19:00:00.000","39","36"
"2015-07-10T23:00:00.000","12","27"
"2015-07-10T09:00:00.000","154","106"
"2015-07-27T13:00:00.000","52","43"
"2015-07-01T11:00:00.000","60","42"
"2015-07-23T00:00:00.000","10","12"
"2015-07-19T07:00:00.000","28","24"
"2015-07-10T02:00:00.000","2","6"
"2015-07-26T19:00:00.000","24","19"
"2015-07-19T09:00:00.000","81","65"
"2015-07-19T04:00:00.000","3","1"
"2015-07-07T16:00:00.000","148","209"
"2015-07-27T20:00:00.000","56","76"
"2015-07-19T13:00:00.000","94","90"
"2012-11-10T19:00:00.000","13","13"
"2015-07-05T02:00:00.000","5","8"
"2015-07-18T03:00:00.000","3","5"
"2015-07-27T01:00:00.000","0","4"
"2015-07-09T05:00:00.000","20","32"
"2015-07-16T21:00:00.000","49","58"
"2015-07-27T08:00:00.000","351","169"
"2015-07-29T05:00:00.000","31","16"
"2015-07-03T21:00:00.000","25","24"
"2015-07-26T06:00:00.000","12","13"
"2015-07-10T01:00:00.000","5","8"
"2015-07-12T09:00:00.000","46","41"
"2015-07-21T06:00:00.000","118","53"
"2015-07-20T09:00:00.000","159","118"
"2015-07-09T10:00:00.000","78","40"
"2015-07-02T20:00:00.000","49","63"
"2015-07-15T07:00:00.000","354","154"
"2015-07-14T03:00:00.000","3","1"
"2015-07-18T00:00:00.000","9","12"
"2015-07-29T00:00:00.000","5","6"
"2015-07-24T17:00:00.000","126","378"
"2015-07-18T02:00:00.000","5","5"
"2015-07-02T05:00:00.000","27","26"
"2015-07-01T23:00:00.000","23","23"
"2015-07-04T16:00:00.000","64","88"
"2015-07-14T16:00:00.000","160","228"
"2015-07-18T07:00:00.000","21","34"
"2015-07-24T20:00:00.000","56","62"
"2015-07-06T19:00:00.000","98","120"
"2015-07-25T13:00:00.000","68","47"
"2015-07-28T02:00:00.000","2","1"
"2012-11-12T02:00:00.000","2","2"
"2015-07-07T19:00:00.000","106","157"
"2012-11-12T04:00:00.000","1","1"
"2015-07-13T21:00:00.000","42","54"
"2015-07-14T11:00:00.000","23","63"
"2015-07-21T10:00:00.000","45","53"
"2015-07-01T10:00:00.000","83","50"
"2015-07-28T21:00:00.000","39","50"
"2015-07-20T05:00:00.000","24","18"
"2015-07-30T03:00:00.000","0","3"
"2015-07-09T06:00:00.000","140","51"
"2015-07-19T02:00:00.000","1","4"
"2015-07-27T07:00:00.000","296","129"
"2015-07-04T13:00:00.000","84","70"
"2015-07-24T22:00:00.000","76","246"
"2015-07-07T21:00:00.000","48","46"
"2015-07-11T14:00:00.000","68","63"
"2015-07-06T23:00:00.000","9","10"
"2015-07-13T20:00:00.000","62","92"
"2015-07-03T06:00:00.000","23","21"
"2015-07-15T19:00:00.000","104","165"
"2015-07-11T01:00:00.000","7","6"
"2015-07-03T08:00:00.000","74","64"
"2015-07-22T00:00:00.000","7","6"
"2015-07-09T12:00:00.000","58","41"
"2012-11-13T03:00:00.000","1","1"
"2015-07-25T01:00:00.000","11","4"
"2015-07-14T19:00:00.000","121","186"
"2015-07-17T05:00:00.000","27","13"
"2015-07-05T11:00:00.000","95","68"
"2015-07-13T10:00:00.000","50","42"
"2015-07-08T21:00:00.000","55","60"
"2015-07-07T18:00:00.000","197","301"
"2015-07-05T18:00:00.000","67","52"
"2015-07-07T04:00:00.000","4","5"
"2015-07-03T14:00:00.000","59","74"
"2015-07-24T06:00:00.000","76","49"
"2015-07-15T21:00:00.000","31","50"
"2015-07-20T07:00:00.000","302","121"
"2015-07-30T17:00:00.000","184","458"
"2015-07-19T18:00:00.000","44","50"
"2015-07-19T21:00:00.000","26","23"
"2015-07-02T17:00:00.000","159","365"
"2015-07-09T08:00:00.000","376","217"
"2015-07-03T13:00:00.000","113","85"
"2015-07-27T22:00:00.000","11","22"
"2015-07-08T19:00:00.000","132","174"
"2015-07-26T20:00:00.000","12","19"
"2015-07-16T07:00:00.000","310","119"
"2015-07-27T21:00:00.000","35","46"
"2015-07-30T18:00:00.000","165","311"
"2015-07-18T08:00:00.000","52","50"
"2015-07-18T11:00:00.000","67","68"
"2015-07-08T18:00:00.000","201","326"
"2015-07-01T01:00:00.000","5","4"
"2015-07-17T06:00:00.000","106","49"
"2015-07-20T10:00:00.000","74","51"
"2015-07-04T03:00:00.000","3","2"
"2015-07-02T16:00:00.000","135","221"
"2015-07-13T11:00:00.000","47","51"
"2015-07-02T22:00:00.000","34","39"
"2015-07-17T00:00:00.000","13","13"
"2015-07-17T04:00:00.000","5","4"
"2015-07-21T16:00:00.000","123","212"
"2015-07-21T21:00:00.000","43","57"
"2015-07-12T10:00:00.000","59","45"
"2015-07-15T00:00:00.000","3","5"
"2015-07-18T19:00:00.000","44","44"
"2015-07-17T19:00:00.000","75","98"
"2015-07-25T06:00:00.000","13","10"
"2015-07-03T02:00:00.000","2","4"
"2015-07-02T21:00:00.000","55","52"
"2015-07-11T21:00:00.000","37","27"
"2015-07-27T02:00:00.000","2","1"
"2015-07-22T05:00:00.000","19","16"
"2015-07-01T21:00:00.000","48","61"
"2015-07-03T10:00:00.000","87","66"
"2015-07-14T04:00:00.000","7","4"
"2015-07-06T03:00:00.000","4","2"
"2015-07-11T05:00:00.000","13","54"
"2015-07-09T15:00:00.000","75","78"
"2015-07-20T00:00:00.000","1","8"
"2015-07-05T12:00:00.000","80","54"
"2015-07-19T11:00:00.000","112","80"
"2015-07-23T02:00:00.000","0","3"
"2015-07-09T19:00:00.000","112","168"
"2015-07-02T11:00:00.000","50","39"
"2015-07-03T23:00:00.000","17","23"
"2015-07-08T03:00:00.000","3","1"
"2015-07-21T09:00:00.000","174","123"
"2012-11-15T21:00:00.000","29","29"
"2015-07-09T04:00:00.000","2","8"
"2015-07-27T03:00:00.000","4","0"
"2015-07-20T22:00:00.000","23","16"
"2012-11-16T01:00:00.000","5","5"
"2015-07-18T17:00:00.000","67","70"
